uniqueFollowCount,totalUnFollowCount,foursquareId,uniqueUnFollowCount,key,date,totalFollowCount
46,0,3382567,0,2010-12-19 | 3382567,2010-12-19T00:00:00,59
9,0,338793,0,2010-12-19 | 338793,2010-12-19T00:00:00,10
49,1,3394354,1,2010-12-19 | 3394354,2010-12-19T00:00:00,61
11,0,3400565,0,2010-12-19 | 3400565,2010-12-19T00:00:00,11
13,0,340702,0,2010-12-19 | 340702,2010-12-19T00:00:00,14
22,0,3450621,0,2010-12-19 | 3450621,2010-12-19T00:00:00,24
24,0,3452356,0,2010-12-19 | 3452356,2010-12-19T00:00:00,25
36,1,347482,1,2010-12-19 | 347482,2010-12-19T00:00:00,43
28,0,3483778,0,2010-12-19 | 3483778,2010-12-19T00:00:00,39
3,0,3499494,0,2010-12-19 | 3499494,2010-12-19T00:00:00,3
20,0,3500370,0,2010-12-19 | 3500370,2010-12-19T00:00:00,23
23,0,352703,0,2010-12-19 | 352703,2010-12-19T00:00:00,25
11,0,3534006,0,2010-12-19 | 3534006,2010-12-19T00:00:00,11
25,0,3536222,0,2010-12-19 | 3536222,2010-12-19T00:00:00,26
5,0,360215,0,2010-12-19 | 360215,2010-12-19T00:00:00,5
21,0,3602992,0,2010-12-19 | 3602992,2010-12-19T00:00:00,22
20,0,3646920,0,2010-12-19 | 3646920,2010-12-19T00:00:00,21
31,0,3647483,0,2010-12-19 | 3647483,2010-12-19T00:00:00,40
32,0,3648478,0,2010-12-19 | 3648478,2010-12-19T00:00:00,36
19,0,3663586,0,2010-12-19 | 3663586,2010-12-19T00:00:00,20
18,0,3685114,0,2010-12-19 | 3685114,2010-12-19T00:00:00,18
12,0,3760650,0,2010-12-19 | 3760650,2010-12-19T00:00:00,12
4,0,376887,0,2010-12-19 | 376887,2010-12-19T00:00:00,4
10,0,3779900,0,2010-12-19 | 3779900,2010-12-19T00:00:00,10
24,0,3795733,0,2010-12-19 | 3795733,2010-12-19T00:00:00,37
17,0,3796987,0,2010-12-19 | 3796987,2010-12-19T00:00:00,17
15,0,383992,0,2010-12-19 | 383992,2010-12-19T00:00:00,16
