count,date,foursquareId,key
1621,2011-01-12T05:05:10,4960906,2011-01-12 | 4960906
1120,2011-01-12T05:05:10,4982794,2011-01-12 | 4982794
1369,2011-01-12T05:05:10,5003365,2011-01-12 | 5003365
1154,2011-01-12T05:05:10,5023311,2011-01-12 | 5023311
2544,2011-01-12T05:05:10,5040784,2011-01-12 | 5040784
5081,2011-01-12T05:05:10,508885,2011-01-12 | 508885
2367,2011-01-12T05:05:10,5094767,2011-01-12 | 5094767
1209,2011-01-12T05:05:10,5234207,2011-01-12 | 5234207
1240,2011-01-12T05:05:10,5255525,2011-01-12 | 5255525
1671,2011-01-12T05:05:10,5273346,2011-01-12 | 5273346
1232,2011-01-12T05:05:10,5309777,2011-01-12 | 5309777
1766,2011-01-12T05:05:10,5330918,2011-01-12 | 5330918
1749,2011-01-12T05:05:10,5339676,2011-01-12 | 5339676
8924,2011-01-12T05:05:10,5368647,2011-01-12 | 5368647
615,2011-01-12T05:05:10,5411677,2011-01-12 | 5411677
7869,2011-01-12T05:05:10,55232,2011-01-12 | 55232
1598,2011-01-12T05:05:10,5566540,2011-01-12 | 5566540
39149,2011-01-12T05:05:10,572758,2011-01-12 | 572758
1008,2011-01-12T05:05:10,5749743,2011-01-12 | 5749743
168,2011-01-12T05:05:10,5894669,2011-01-12 | 5894669
264,2011-01-12T05:05:10,5921806,2011-01-12 | 5921806
17,2011-01-12T05:05:10,5921945,2011-01-12 | 5921945
4241,2011-01-12T05:05:10,611736,2011-01-12 | 611736
6563,2011-01-12T05:05:10,64003,2011-01-12 | 64003
117354,2011-01-12T05:05:10,660771,2011-01-12 | 660771
4236,2011-01-12T05:05:10,680644,2011-01-12 | 680644
19671,2011-01-12T05:05:10,742542,2011-01-12 | 742542
9174,2011-01-12T05:05:10,744696,2011-01-12 | 744696
58595,2011-01-12T05:05:10,749968,2011-01-12 | 749968
2447,2011-01-12T05:05:10,763642,2011-01-12 | 763642
2479,2011-01-12T05:05:10,83989,2011-01-12 | 83989
13957,2011-01-12T05:05:10,843848,2011-01-12 | 843848
7612,2011-01-12T05:05:10,844707,2011-01-12 | 844707
2858,2011-01-12T05:05:10,879576,2011-01-12 | 879576
7180,2011-01-12T05:05:10,887198,2011-01-12 | 887198
5967,2011-01-12T05:05:10,891126,2011-01-12 | 891126
27879,2011-01-12T05:05:10,901653,2011-01-12 | 901653
76004,2011-01-12T05:05:10,909936,2011-01-12 | 909936
3860,2011-01-12T05:05:10,922746,2011-01-12 | 922746
271,2011-01-12T05:05:10,925371,2011-01-12 | 925371
58443,2011-01-12T05:05:10,989827,2011-01-12 | 989827
11719,2011-01-13T05:06:20,100438,2011-01-13 | 100438
5741,2011-01-13T05:06:20,1014390,2011-01-13 | 1014390
1099,2011-01-13T05:06:20,1044528,2011-01-13 | 1044528
2422,2011-01-13T05:06:20,1066667,2011-01-13 | 1066667
1408,2011-01-13T05:06:20,1067256,2011-01-13 | 1067256
877,2011-01-13T05:06:20,1068336,2011-01-13 | 1068336
4982,2011-01-13T05:06:20,1082106,2011-01-13 | 1082106
13298,2011-01-13T05:06:20,1120937,2011-01-13 | 1120937
1475,2011-01-13T05:06:20,1125529,2011-01-13 | 1125529
4651,2011-01-13T05:06:20,1126457,2011-01-13 | 1126457
6768,2011-01-13T05:06:20,1127758,2011-01-13 | 1127758
31256,2011-01-13T05:06:20,1138456,2011-01-13 | 1138456
6174,2011-01-13T05:06:20,1150073,2011-01-13 | 1150073
5907,2011-01-13T05:06:20,117717,2011-01-13 | 117717
2848,2011-01-13T05:06:20,1191479,2011-01-13 | 1191479
4397,2011-01-13T05:06:20,1192925,2011-01-13 | 1192925
2926,2011-01-13T05:06:20,1202129,2011-01-13 | 1202129
1985,2011-01-13T05:06:20,1203537,2011-01-13 | 1203537
2476,2011-01-13T05:06:20,1209712,2011-01-13 | 1209712
26173,2011-01-13T05:06:20,1223577,2011-01-13 | 1223577
5318,2011-01-13T05:06:20,1236834,2011-01-13 | 1236834
2874,2011-01-13T05:06:20,1237754,2011-01-13 | 1237754
4660,2011-01-13T05:06:20,1240364,2011-01-13 | 1240364
4922,2011-01-13T05:06:20,1241858,2011-01-13 | 1241858
8194,2011-01-13T05:06:20,1276998,2011-01-13 | 1276998
3445,2011-01-13T05:06:20,1286763,2011-01-13 | 1286763
50844,2011-01-13T05:06:20,1297266,2011-01-13 | 1297266
5462,2011-01-13T05:06:20,1297525,2011-01-13 | 1297525
3812,2011-01-13T05:06:20,1307334,2011-01-13 | 1307334
7623,2011-01-13T05:06:20,1314412,2011-01-13 | 1314412
30321,2011-01-13T05:06:20,1325831,2011-01-13 | 1325831
2788,2011-01-13T05:06:20,1326984,2011-01-13 | 1326984
15099,2011-01-13T05:06:20,1361264,2011-01-13 | 1361264
7029,2011-01-13T05:06:20,13630,2011-01-13 | 13630
61200,2011-01-13T05:06:20,1364255,2011-01-13 | 1364255
3164,2011-01-13T05:06:20,1364936,2011-01-13 | 1364936
3832,2011-01-13T05:06:20,1372183,2011-01-13 | 1372183
21320,2011-01-13T05:06:20,1372689,2011-01-13 | 1372689
5226,2011-01-13T05:06:20,1387227,2011-01-13 | 1387227
2222,2011-01-13T05:06:20,1387652,2011-01-13 | 1387652
5952,2011-01-13T05:06:20,1408406,2011-01-13 | 1408406
45854,2011-01-13T05:06:20,1413072,2011-01-13 | 1413072
6772,2011-01-13T05:06:20,1473703,2011-01-13 | 1473703
17595,2011-01-13T05:06:20,147983,2011-01-13 | 147983
1404,2011-01-13T05:06:20,1484786,2011-01-13 | 1484786
16530,2011-01-13T05:06:20,149690,2011-01-13 | 149690
7695,2011-01-13T05:06:20,1501856,2011-01-13 | 1501856
3647,2011-01-13T05:06:20,1503120,2011-01-13 | 1503120
50828,2011-01-13T05:06:20,1504602,2011-01-13 | 1504602
8314,2011-01-13T05:06:20,1514388,2011-01-13 | 1514388
15287,2011-01-13T05:06:20,1568845,2011-01-13 | 1568845
2247,2011-01-13T05:06:20,1581762,2011-01-13 | 1581762
4461,2011-01-13T05:06:20,1593133,2011-01-13 | 1593133
18106,2011-01-13T05:06:20,1596715,2011-01-13 | 1596715
1111,2011-01-13T05:06:20,1598023,2011-01-13 | 1598023
3084,2011-01-13T05:06:20,1601896,2011-01-13 | 1601896
29473,2011-01-13T05:06:20,1604396,2011-01-13 | 1604396
4213,2011-01-13T05:06:20,1616888,2011-01-13 | 1616888
