id,name,category,action,label,totalEvents,uniqueEvents,eventValue
100438,TransLink,brands,followed,100438,53,53,0
749968,Gossip Girl,brands,followed,749968,51,47,0
1138456,visitPA,brands,followed,1138456,48,46,0
989827,The Wall Street Journal,brands,followed,989827,46,45,0
2924803,Washington R.,brands,followed,2924803,45,42,0
337548,Lucky Magazine,brands,followed,337548,45,44,0
322698,Bon Appetit Magazine,brands,followed,322698,42,40,0
376887,HISTORY Channel,brands,followed,376887,40,38,0
162361,Ellen D.,brands,followed,162361,39,38,0
909936,VH1,brands,followed,909936,39,37,0
2394891,People,brands,followed,2394891,35,33,0
1325831,LogoTV,brands,followed,1325831,33,31,0
3053550,Mazda,brands,followed,3053550,30,30,0
1604396,Dew Tour,brands,followed,1604396,28,27,0
311503,AskMen.com,brands,followed,311503,25,24,0
282219,Bravo,brands,followed,282219,22,22,0
5255525,The New York Public Library,brands,followed,5255525,17,15,0
5023311,RickysNYC,brands,followed,5023311,16,13,0
2351118,The Journal News/LoHud.com,brands,unfollowed,2351118,8,8,0
4764590,Mike,brands,unfollowed,4764590,8,7,0
2109233,Jones M.,brands,unfollowed,2109233,6,6,0
2331531,Duke Chronicle,brands,unfollowed,2331531,6,6,0
2485038,Arizona State University,brands,unfollowed,2485038,5,5,0
1413072,CNN,brands,unfollowed,1413072,4,4,0
1759442,(RED),brands,unfollowed,1759442,4,4,0
2070299,Oregon D.,brands,unfollowed,2070299,4,4,0
3323786,eHow,brands,unfollowed,3323786,4,4,0
1297266,Louis V.,brands,unfollowed,1297266,3,3,0
1325831,LogoTV,brands,unfollowed,1325831,3,3,0
1501856,Bonnaroo,brands,unfollowed,1501856,3,3,0
1618576,Boutiqued,brands,unfollowed,1618576,3,3,0
1657350,ScreenScape,brands,unfollowed,1657350,3,3,0
1681286,987LA,brands,unfollowed,1681286,3,3,0
171148,Intel,brands,unfollowed,171148,3,2,0
1734196,IntelWiMAX,brands,unfollowed,1734196,3,3,0
2094395,Drury University,brands,unfollowed,2094395,3,3,0
2632562,Madewell,brands,unfollowed,2632562,3,3,0
2769138,Northeastern U.,brands,unfollowed,2769138,3,3,0
2817466,The Source M.,brands,unfollowed,2817466,3,3,0
2869391,H&M Sverige,brands,unfollowed,2869391,3,3,0
2960181,Lufthansa,brands,unfollowed,2960181,3,3,0
3052639,Windows Live Photo Gallery,brands,unfollowed,3052639,3,3,0
3214207,BlackBerry,brands,unfollowed,3214207,3,3,0
336012,How To Make It In America,brands,unfollowed,336012,3,3,0
4108698,The Daily Show,brands,unfollowed,4108698,3,3,0
4121273,Brisk,brands,unfollowed,4121273,3,3,0
4128086,86project,brands,unfollowed,4128086,3,3,0
4302443,S��DWEST PRESSE O.,brands,unfollowed,4302443,3,3,0
430851,@AdobeSXSW,brands,unfollowed,430851,3,3,0
4382042,RadioShack,brands,unfollowed,4382042,3,3,0
4427579,Haighteration,brands,unfollowed,4427579,3,3,0
4561403,RTR,brands,unfollowed,4561403,3,3,0
4850155,ooffers,brands,unfollowed,4850155,3,3,0
55232,Flavorpill NYC,brands,unfollowed,55232,3,3,0
925371,DonQ,brands,unfollowed,925371,3,3,0
1120937,Stanford University,brands,unfollowed,1120937,2,2,0
1150073,The Seattle Times,brands,unfollowed,1150073,2,2,0
117717,lululemon athletica,brands,unfollowed,117717,2,2,0
1209712,EDP 24,brands,unfollowed,1209712,2,2,0
1240364,TBD,brands,unfollowed,1240364,2,2,0
1307334,HUGO BOSS,brands,unfollowed,1307334,2,2,0
1314412,Style.com,brands,unfollowed,1314412,2,2,0
1387227,Havaianas,brands,unfollowed,1387227,2,2,0
1503120,Aloft Hotels,brands,unfollowed,1503120,2,2,0
1604396,Dew Tour,brands,unfollowed,1604396,2,2,0
1618625,Nuclear Cowboyz,brands,unfollowed,1618625,2,2,0
1653151,Simon & Schuster,brands,unfollowed,1653151,2,2,0
1760948,GogoInflight,brands,unfollowed,1760948,2,2,0
1769287,nymag,brands,unfollowed,1769287,2,2,0
1837066,HuffPost,brands,unfollowed,1837066,2,2,0
1942924,Loyola University New Orleans,brands,unfollowed,1942924,2,2,0
2068754,fyeguy,brands,unfollowed,2068754,2,2,0
2276914,Walgreens,brands,unfollowed,2276914,2,2,0
2516801,Topguest,brands,unfollowed,2516801,2,2,0
2613788,WestVirginiaU,brands,unfollowed,2613788,2,2,0
2633456,Boston U.,brands,unfollowed,2633456,2,2,0
275143,Journal M.,brands,unfollowed,275143,2,2,0
2944196,MoMA,brands,unfollowed,2944196,2,2,0
3053550,Mazda,brands,unfollowed,3053550,2,2,0
